Name,State,Median Household Income,90% CI Lower Bound,90% CI Upper Bound
Butte County,CA,42.302,40.264,44.34
Calaveras County,CA,53.321,48.734,57.908
Colusa County,CA,48.006,44.053,51.959
Contra Costa County,CA,80.338,78.4,82.276
Del Norte County,CA,41.419,38.181,44.657
El Dorado County,CA,70.235,65.699,74.771
Fresno County,CA,43.338,41.508,45.168
Glenn County,CA,43.755,39.548,47.962
Humboldt County,CA,40.581,38.005,43.157
Imperial County,CA,38.737,35.433,42.041
Inyo County,CA,49.267,44.287,54.247
Kern County,CA,47.451,45.276,49.626
Kings County,CA,44.49,40.932,48.048
Lake County,CA,36.333,33.116,39.55
Lassen County,CA,49.995,45.57,54.42
Los Angeles County,CA,55.686,55.165,56.207
Madera County,CA,43.171,40.1,46.242
Marin County,CA,94.549,88.283,100.815
Mariposa County,CA,47.781,44.401,51.161
Mendocino County,CA,42.84,40,45.68
Merced County,CA,43.818,41.284,46.352
Modoc County,CA,39.172,35.813,42.531
Mono County,CA,59.181,53.608,64.754
Monterey County,CA,57.428,55.347,59.509
Napa County,CA,71.063,66.853,75.273
Nevada County,CA,57.118,52.704,61.532
Orange County,CA,76.061,74.857,77.265
Placer County,CA,75.689,73.005,78.373
Plumas County,CA,47.964,43.161,52.767
Riverside County,CA,56.877,56.024,57.73
Sacramento County,CA,55.803,54.725,56.881
San Benito County,CA,68.166,63.835,72.497
San Bernardino County,CA,51.951,51.101,52.801
San Diego County,CA,66.034,65.066,67.002
San Francisco County,CA,83.788,81.114,86.462
San Joaquin County,CA,51.527,50.269,52.785
San Luis Obispo County,CA,61.775,58.599,64.951
San Mateo County,CA,100.806,99.503,102.109
Santa Barbara County,CA,62.116,59.007,65.225
Santa Clara County,CA,97.219,95.336,99.102
Santa Cruz County,CA,64.257,59.903,68.611
Shasta County,CA,43.661,41.361,45.961
Sierra County,CA,47.293,42.283,52.303
Siskiyou County,CA,38.641,35.758,41.524
Solano County,CA,67.106,63.857,70.355
Sonoma County,CA,66.949,64.082,69.816
Stanislaus County,CA,50.917,49.68,52.154
Sutter County,CA,51.827,48.68,54.974
Tehama County,CA,40.782,37.503,44.061
Trinity County,CA,34.961,31.947,37.975
Tulare County,CA,42.36,40.429,44.291
Tuolumne County,CA,49.476,45.216,53.736
Ventura County,CA,74.967,73.152,76.782
Yolo County,CA,54.509,51.187,57.831
Yuba County,CA,41.403,37.739,45.067
Colorado,CA,61.324,60.846,61.802
Adams County,CO,59.316,57.334,61.298
Alamosa County,CO,38.14,34.339,41.941
Arapahoe County,CO,65.359,63.481,67.237
Archuleta County,CO,44.508,40.13,48.886
Baca County,CO,36.294,32.501,40.087
Bent County,CO,35.424,31.75,39.098
Boulder County,CO,71.546,68.272,74.82
Broomfield County,CO,85.885,80.594,91.176
Chaffee County,CO,48.84,44.902,52.778
Cheyenne County,CO,52.273,47.365,57.181
Clear Creek County,CO,69.115,62.41,75.82
Conejos County,CO,33.998,30.741,37.255
Costilla County,CO,27.882,25.048,30.716
Crowley County,CO,32.57,29.352,35.788
Custer County,CO,48.368,43.265,53.471
Delta County,CO,45.283,41.383,49.183
Denver County,CO,54.872,53.049,56.695
Dolores County,CO,44.235,39.514,48.956
Douglas County,CO,107.25,101.353,113.147
Eagle County,CO,76.661,71.045,82.277
Elbert County,CO,83.603,77.865,89.341
El Paso County,CO,59.286,57.168,61.404
Fremont County,CO,41.385,38.362,44.408
Garfield County,CO,62.529,57.791,67.267
Gilpin County,CO,64.752,58.051,71.453
Grand County,CO,59.379,53.682,65.076
Gunnison County,CO,48.94,43.916,53.964
Hinsdale County,CO,51.241,45.763,56.719
Huerfano County,CO,32.75,29.329,36.171
Jackson County,CO,45.073,40.305,49.841
Jefferson County,CO,70.687,69.368,72.006
Kiowa County,CO,42.31,38.968,45.652
