Name,State,Median Household Income,90% CI Lower Bound,90% CI Upper Bound
Mason County,MI,42.896,40.503,45.289
Mecosta County,MI,41.572,38.613,44.531
Menominee County,MI,42.191,38.529,45.853
Midland County,MI,51.629,48.225,55.033
Missaukee County,MI,40.455,38.092,42.818
Monroe County,MI,57.719,54.957,60.481
Montcalm County,MI,41.554,39.317,43.791
Montmorency County,MI,37.961,35.611,40.311
Muskegon County,MI,42.588,40.969,44.207
Newaygo County,MI,41.588,38.332,44.844
Oakland County,MI,69.378,67.834,70.922
Oceana County,MI,41.166,39.348,42.984
Ogemaw County,MI,35.968,33.561,38.375
Ontonagon County,MI,35.387,32.633,38.141
Osceola County,MI,40.235,38.065,42.405
Oscoda County,MI,33.975,30.703,37.247
Otsego County,MI,44.693,41.106,48.28
Ottawa County,MI,60.577,58.638,62.516
Presque Isle County,MI,39.42,36.418,42.422
Roscommon County,MI,35.002,31.874,38.13
Saginaw County,MI,44.548,42.964,46.132
St. Clair County,MI,50.303,48.3,52.306
St. Joseph County,MI,43.687,42.002,45.372
Sanilac County,MI,42.081,39.898,44.264
Schoolcraft County,MI,39.539,35.698,43.38
Shiawassee County,MI,47.882,44.79,50.974
Tuscola County,MI,43.186,40.363,46.009
Van Buren County,MI,46.715,43.562,49.868
Washtenaw County,MI,62.861,60.785,64.937
Wayne County,MI,41.434,40.77,42.098
Wexford County,MI,39.807,36.811,42.803
Minnesota,MI,61.473,61.01,61.936
Aitkin County,MN,40.676,37.647,43.705
Anoka County,MN,70.868,68.885,72.851
Becker County,MN,51.116,48.338,53.894
Beltrami County,MN,43.706,40.801,46.611
Benton County,MN,52.531,48.263,56.799
Big Stone County,MN,46.495,42.292,50.698
Blue Earth County,MN,49.513,45.98,53.046
Brown County,MN,52.272,48.496,56.048
Carlton County,MN,53.291,49.85,56.732
Carver County,MN,88.5,81.93,95.07
Cass County,MN,45.179,42.979,47.379
Chippewa County,MN,51.274,46.143,56.405
Chisago County,MN,75.122,71.846,78.398
Clay County,MN,55.56,51.357,59.763
Clearwater County,MN,43.674,40.488,46.86
Cook County,MN,48.593,43.934,53.252
Cottonwood County,MN,48.176,44.19,52.162
Crow Wing County,MN,50.162,48.041,52.283
Dakota County,MN,76.269,74.59,77.948
Dodge County,MN,68.777,64.399,73.155
Douglas County,MN,52.298,49.03,55.566
Faribault County,MN,48.163,45.168,51.158
Fillmore County,MN,52.444,49.13,55.758
Freeborn County,MN,47.203,43.573,50.833
Goodhue County,MN,60.869,55.876,65.862
Grant County,MN,48.179,43.661,52.697
Hennepin County,MN,64.49,62.862,66.118
Houston County,MN,59.9,56.998,62.802
Hubbard County,MN,47.944,44.516,51.372
Isanti County,MN,65.342,61.212,69.472
Itasca County,MN,48.525,45.351,51.699
Jackson County,MN,53.7,48.884,58.516
Kanabec County,MN,48.908,45.953,51.863
Kandiyohi County,MN,57.405,54.562,60.248
Kittson County,MN,50.372,45.982,54.762
Koochiching County,MN,44.113,40.199,48.027
Lac qui Parle County,MN,48.245,43.871,52.619
Lake County,MN,52.381,47.557,57.205
Lake of the Woods County,MN,44.727,40.2,49.254
Le Sueur County,MN,61.665,59.235,64.095
Lincoln County,MN,48.449,44.607,52.291
Lyon County,MN,53.552,49.176,57.928
McLeod County,MN,60.114,57.012,63.216
Mahnomen County,MN,39.926,36.555,43.297
Marshall County,MN,54.433,51,57.866
Martin County,MN,52.042,48.319,55.765
Meeker County,MN,54.354,51.565,57.143
Mille Lacs County,MN,48.434,45.142,51.726
Morrison County,MN,50.685,48.144,53.226
Mower County,MN,47.537,43.276,51.798
Murray County,MN,52.219,49.256,55.182
Nicollet County,MN,61.279,56.443,66.115
Nobles County,MN,50.684,47.71,53.658
Norman County,MN,51.597,48.17,55.024
Olmsted County,MN,69.43,64.999,73.861
Otter Tail County,MN,51.51,49.136,53.884
Pennington County,MN,50.905,46.639,55.171
Pine County,MN,42.157,40.107,44.207
Pipestone County,MN,47.164,43.63,50.698
Polk County,MN,50.175,46.757,53.593
Pope County,MN,51.343,47.279,55.407
Ramsey County,MN,55.07,53.404,56.736
Red Lake County,MN,48.188,43.673,52.703
Redwood County,MN,49.934,45.94,53.928
Renville County,MN,54.386,50.247,58.525
Rice County,MN,60.317,57.177,63.457
Rock County,MN,55.352,50.258,60.446
Roseau County,MN,53.838,49.652,58.024
St. Louis County,MN,49.714,47.569,51.859
Scott County,MN,91.688,85.807,97.569
Sherburne County,MN,76.512,71.008,82.016
Sibley County,MN,59.893,56.585,63.201
Stearns County,MN,55.832,53.614,58.05
Steele County,MN,57.85,52.521,63.179
Stevens County,MN,55.292,50.354,60.23
Swift County,MN,51.032,46.272,55.792
Todd County,MN,43.287,40.47,46.104
Traverse County,MN,49.536,46.053,53.019
Wabasha County,MN,58.752,55.176,62.328
Wadena County,MN,41.909,38.667,45.151
Waseca County,MN,54.183,49.539,58.827
Washington County,MN,84.113,80.265,87.961
Watonwan County,MN,48.658,44.632,52.684
Wilkin County,MN,54.536,49.054,60.018
Winona County,MN,49.365,46.124,52.606
Wright County,MN,76.489,72.483,80.495
Yellow Medicine County,MN,51.028,47.867,54.189
Mississippi,MN,39.738,38.998,40.478
Adams County,MS,32.327,29.209,35.445
Alcorn County,MS,35.18,31.741,38.619
Amite County,MS,30.668,27.988,33.348
Attala County,MS,32.521,29.767,35.275
Benton County,MS,30.665,27.49,33.84
Bolivar County,MS,29.297,26.767,31.827
Calhoun County,MS,33.141,29.834,36.448
Carroll County,MS,38.219,34.703,41.735
Chickasaw County,MS,31.616,28.399,34.833
Choctaw County,MS,34.548,31.115,37.981
Claiborne County,MS,26.083,23.299,28.867
Clarke County,MS,34.91,31.493,38.327
Clay County,MS,33.939,30.887,36.991
Coahoma County,MS,28.647,26.187,31.107
Copiah County,MS,35.314,32.367,38.261
Covington County,MS,31.835,29.049,34.621
DeSoto County,MS,58.479,55.541,61.417
Forrest County,MS,36.808,34.296,39.32
Franklin County,MS,36.544,32.912,40.176
George County,MS,44.811,40.86,48.762
Greene County,MS,39.615,35.404,43.826
Grenada County,MS,33.65,30.882,36.418
Hancock County,MS,46.288,42.7,49.876
Harrison County,MS,41.01,39.028,42.992
Hinds County,MS,38.454,36.594,40.314
Holmes County,MS,22.64,20.57,24.71
Humphreys County,MS,25.562,23.185,27.939
Issaquena County,MS,37.096,34.04,40.152
Itawamba County,MS,38.366,34.813,41.919
Jackson County,MS,48.018,45.115,50.921
Jasper County,MS,35.019,31.568,38.47
Jefferson County,MS,26.408,23.564,29.252
Jefferson Davis County,MS,28.271,25.344,31.198
Jones County,MS,37.367,33.881,40.853
Kemper County,MS,33.015,29.718,36.312
Lafayette County,MS,40.797,36.867,44.727
Lamar County,MS,51.389,47.32,55.458
Lauderdale County,MS,38.869,35.195,42.543
Lawrence County,MS,38.471,34.502,42.44
Leake County,MS,32.239,29.966,34.512
Lee County,MS,43.374,40.784,45.964
Leflore County,MS,26.439,23.889,28.989
Lincoln County,MS,36.118,33.179,39.057
Lowndes County,MS,39.937,37.265,42.609
Madison County,MS,66.671,61.895,71.447
Marion County,MS,33.428,30.284,36.572
Marshall County,MS,37.554,34.36,40.748
Monroe County,MS,36.81,33.238,40.382
Montgomery County,MS,31.963,28.675,35.251
Neshoba County,MS,37.686,33.897,41.475
Newton County,MS,35.185,31.763,38.607
Noxubee County,MS,28.73,25.87,31.59
Oktibbeha County,MS,34.429,31.215,37.643
Panola County,MS,34.526,31.328,37.724
Pearl River County,MS,38.465,34.941,41.989
Perry County,MS,32.459,29.353,35.565
Pike County,MS,30.078,26.995,33.161
Pontotoc County,MS,40.198,36.355,44.041
Prentiss County,MS,34.794,31.392,38.196
Quitman County,MS,26.204,23.587,28.821
Rankin County,MS,58.368,54.744,61.992
Scott County,MS,32.049,28.969,35.129
Sharkey County,MS,27.877,24.996,30.758
Simpson County,MS,34.338,31.044,37.632
Smith County,MS,38.975,35.018,42.932
Stone County,MS,41.136,37.241,45.031
Sunflower County,MS,29.227,26.592,31.862
Tallahatchie County,MS,28.456,25.784,31.128
Tate County,MS,40.975,37.889,44.061
Tippah County,MS,37.026,33.437,40.615
Tishomingo County,MS,35.55,32.533,38.567
Tunica County,MS,30.689,27.4,33.978
Union County,MS,37.667,34.111,41.223
Walthall County,MS,31.607,28.425,34.789
Warren County,MS,40.397,36.737,44.057
Washington County,MS,30.292,28.299,32.285
Wayne County,MS,35.425,31.737,39.113
Webster County,MS,34.073,31.064,37.082
Wilkinson County,MS,27.596,24.69,30.502
Winston County,MS,34.403,31.04,37.766
Yalobusha County,MS,34.494,30.981,38.007
Yazoo County,MS,30.313,27.857,32.769
Missouri,MS,48.288,47.734,48.842
Adair County,MO,35.425,32.02,38.83
Andrew County,MO,56.309,50.95,61.668
Atchison County,MO,45.997,41.823,50.171
Audrain County,MO,41.302,38.373,44.231
Barry County,MO,38.139,35.247,41.031
Barton County,MO,37.581,34.361,40.801
Bates County,MO,41.462,38.219,44.705
Benton County,MO,33.236,30.829,35.643
Bollinger County,MO,39.033,35.083,42.983
Boone County,MO,50.305,47.568,53.042
Buchanan County,MO,45.431,42.392,48.47
Butler County,MO,35.774,33.238,38.31
Caldwell County,MO,43.111,39.405,46.817
Callaway County,MO,49.384,45.331,53.437
Camden County,MO,44.41,41.073,47.747
Cape Girardeau County,MO,47.705,44.355,51.055
Carroll County,MO,39.017,34.965,43.069
Carter County,MO,32.17,29.084,35.256
Cass County,MO,60.97,58.929,63.011
Cedar County,MO,33.631,30.178,37.084
Chariton County,MO,43.049,39.969,46.129
Christian County,MO,51.831,49.612,54.05
Clark County,MO,43.298,39.479,47.117
Clay County,MO,61.598,58.909,64.287
Clinton County,MO,51.221,48.021,54.421
Cole County,MO,51.885,49.414,54.356
Cooper County,MO,42.166,38.167,46.165
Crawford County,MO,37.379,33.559,41.199
Dade County,MO,37.173,33.467,40.879
Dallas County,MO,34.987,31.647,38.327
Daviess County,MO,41.61,37.721,45.499
DeKalb County,MO,42.174,38.027,46.321
Dent County,MO,34.411,31.191,37.631
Douglas County,MO,31.805,28.879,34.731
Dunklin County,MO,31.486,28.552,34.42
Franklin County,MO,51.978,49.012,54.944
Gasconade County,MO,44.065,40.063,48.067
Gentry County,MO,39.444,35.477,43.411
Greene County,MO,40.386,38.181,42.591
Grundy County,MO,37.911,35.223,40.599
Harrison County,MO,37.486,33.862,41.11
Henry County,MO,39.232,35.888,42.576
Hickory County,MO,33.707,31.034,36.38
Holt County,MO,41.652,37.807,45.497
Howard County,MO,44.188,40.541,47.835
Howell County,MO,32.662,29.74,35.584
Iron County,MO,33.091,30.077,36.105
Jackson County,MO,46.185,44.327,48.043
Jasper County,MO,40.047,37.105,42.989
Jefferson County,MO,58.976,56.398,61.554
Johnson County,MO,49.949,46.353,53.545
Knox County,MO,37.581,33.93,41.232
Laclede County,MO,36.895,33.174,40.616
Lafayette County,MO,48.128,45.625,50.631
Lawrence County,MO,39.908,36.266,43.55
Lewis County,MO,41.891,37.732,46.05
Lincoln County,MO,53.804,48.762,58.846
Linn County,MO,37.597,33.953,41.241
Livingston County,MO,47.937,45.371,50.503
McDonald County,MO,34.863,31.372,38.354
Macon County,MO,35.345,32.921,37.769
Madison County,MO,35.363,31.962,38.764
Maries County,MO,40.165,36.244,44.086
Marion County,MO,42.088,38.514,45.662
Mercer County,MO,38.023,34.145,41.901
Miller County,MO,37.36,33.824,40.896
Mississippi County,MO,30.661,27.905,33.417
Moniteau County,MO,47.158,43.104,51.212
Monroe County,MO,41.376,37.346,45.406
Montgomery County,MO,42.105,37.888,46.322
Morgan County,MO,36.867,33.271,40.463
New Madrid County,MO,34.631,31.696,37.566
Newton County,MO,45.448,43.333,47.563
Nodaway County,MO,42.956,39.041,46.871
Oregon County,MO,29.415,26.68,32.15
Osage County,MO,51.958,47.327,56.589
Ozark County,MO,31.025,27.818,34.232
Pemiscot County,MO,32.12,29.736,34.504
Perry County,MO,50.548,46.329,54.767
Pettis County,MO,40.038,36.7,43.376
Phelps County,MO,40.71,37.079,44.341
Pike County,MO,44.408,41.629,47.187
Platte County,MO,70.874,66.817,74.931
Polk County,MO,38.344,35.629,41.059
Pulaski County,MO,47.227,43.133,51.321
Putnam County,MO,34.684,31.321,38.047
Ralls County,MO,51.738,47.258,56.218
Randolph County,MO,41.346,37.285,45.407
Ray County,MO,51.986,47.565,56.407
Reynolds County,MO,31.82,28.521,35.119
Ripley County,MO,30.019,26.992,33.046
St. Charles County,MO,74.22,71.273,77.167
St. Clair County,MO,33.986,30.685,37.287
Ste. Genevieve County,MO,46.874,42.875,50.873
St. Francois County,MO,40.376,37.517,43.235
St. Louis County,MO,60.093,58.388,61.798
Saline County,MO,41.112,37.826,44.398
Schuyler County,MO,34.644,31.4,37.888
Scotland County,MO,38.281,34.415,42.147
Scott County,MO,40.532,37.696,43.368
Shannon County,MO,27.382,24.625,30.139
Shelby County,MO,42.498,38.535,46.461
Stoddard County,MO,38.329,35.068,41.59
Stone County,MO,40.642,37.446,43.838
Sullivan County,MO,36.642,33.409,39.875
Taney County,MO,35.731,32.723,38.739
Texas County,MO,33.755,30.359,37.151
Vernon County,MO,40.267,37.762,42.772
Warren County,MO,52.959,47.679,58.239
Washington County,MO,34.581,31.699,37.463
Wayne County,MO,30.721,28.071,33.371
Webster County,MO,41.561,38.086,45.036
Worth County,MO,38.802,34.794,42.81
Wright County,MO,31.6,28.71,34.49
St. Louis city,MO,35.681,34.114,37.248
Montana,MO,46.608,45.512,47.704
Beaverhead County,MT,41.602,37.403,45.801
Big Horn County,MT,38.871,35.417,42.325
Blaine County,MT,35.74,32.282,39.198
Broadwater County,MT,49.758,46.801,52.715
Carbon County,MT,47.52,44.049,50.991
Carter County,MT,41.466,37.905,45.027
Cascade County,MT,42.903,39.978,45.828
Chouteau County,MT,41.004,37.134,44.874
Custer County,MT,47.493,43.219,51.767
Daniels County,MT,47.376,43.419,51.333
Dawson County,MT,50.54,45.221,55.859
Deer Lodge County,MT,38.178,34.414,41.942
Fallon County,MT,59.102,52.837,65.367
Fergus County,MT,42.915,38.699,47.131
Flathead County,MT,47.351,44.368,50.334
Gallatin County,MT,51.569,48.156,54.982
Garfield County,MT,42.757,38.886,46.628
Glacier County,MT,33.428,29.888,36.968
Golden Valley County,MT,37.316,33.914,40.718
Granite County,MT,47.902,45.442,50.362
Hill County,MT,43.509,39.492,47.526
Jefferson County,MT,61.575,56.236,66.914
Judith Basin County,MT,43.272,39.001,47.543
Lake County,MT,38.221,35.414,41.028
Lewis and Clark County,MT,53.572,50.652,56.492
Liberty County,MT,37.911,33.852,41.97
Lincoln County,MT,36.734,33.206,40.262
McCone County,MT,43.132,38.541,47.723
Madison County,MT,41.539,37.353,45.725
Meagher County,MT,36.903,33.317,40.489
Mineral County,MT,36.449,32.519,40.379
Missoula County,MT,44.716,41.213,48.219
Musselshell County,MT,39.827,35.6,44.054
Park County,MT,42.942,39.529,46.355
Petroleum County,MT,35.092,31.354,38.83
Phillips County,MT,41.595,37.194,45.996
Pondera County,MT,39.292,35.392,43.192
Powder River County,MT,44.644,39.843,49.445
Powell County,MT,40.072,35.996,44.148
Prairie County,MT,40.14,35.944,44.336
Ravalli County,MT,42.902,38.826,46.978
Richland County,MT,65.738,60.84,70.636
Roosevelt County,MT,37.511,33.717,41.305
Rosebud County,MT,50.751,45.884,55.618
Sanders County,MT,32.815,30.681,34.949
Sheridan County,MT,52.711,47.47,57.952
Silver Bow County,MT,39.882,35.897,43.867
Stillwater County,MT,60.812,55.017,66.607
Sweet Grass County,MT,45,40.285,49.715
Teton County,MT,46.208,42.55,49.866
Toole County,MT,45.207,40.668,49.746
Treasure County,MT,47.089,42.202,51.976
Valley County,MT,46.328,41.73,50.926
Wheatland County,MT,35.875,32.777,38.973
Wibaux County,MT,43.859,39.109,48.609
Yellowstone County,MT,51.653,49.278,54.028
Nebraska,MT,52.803,52.139,53.467
Adams County,NE,48.658,43.986,53.33
Antelope County,NE,50.919,45.617,56.221
Arthur County,NE,43.408,39,47.816
Banner County,NE,48.99,43.705,54.275
Blaine County,NE,38.228,34.391,42.065
Boone County,NE,52.914,48.618,57.21
Box Butte County,NE,55.465,49.96,60.97
Boyd County,NE,39.964,35.813,44.115
Brown County,NE,42.348,37.987,46.709
Buffalo County,NE,51.55,47.94,55.16
Burt County,NE,49.345,44.908,53.782
Butler County,NE,54.24,49.736,58.744
Cass County,NE,66.522,62.698,70.346
Cedar County,NE,54.421,48.931,59.911
Chase County,NE,52.749,47.269,58.229
Cherry County,NE,43.564,39.175,47.953
Cheyenne County,NE,55.964,50.515,61.413
Clay County,NE,55.758,51.892,59.624
Colfax County,NE,50.758,45.568,55.948
Cuming County,NE,56.047,52.035,60.059
Custer County,NE,45.644,41.51,49.778
Dakota County,NE,50.289,47.228,53.35
Dawes County,NE,40.667,36.666,44.668
Dawson County,NE,47.366,43.394,51.338
Deuel County,NE,44.109,39.43,48.788
Dixon County,NE,52.601,47.962,57.24
Dodge County,NE,50.043,46.679,53.407
Douglas County,NE,52.842,51.128,54.556
Dundy County,NE,45.624,40.835,50.413
Fillmore County,NE,54.556,50.789,58.323
Franklin County,NE,44.794,40.317,49.271
Frontier County,NE,48.543,43.735,53.351
Furnas County,NE,44.461,40.25,48.672
Gage County,NE,50.861,48.018,53.704
Garden County,NE,38.645,34.588,42.702
Garfield County,NE,40.436,36.253,44.619
Gosper County,NE,55.319,49.671,60.967
Grant County,NE,47.537,42.525,52.549
Greeley County,NE,43.858,39.657,48.059
Hall County,NE,48.499,44.61,52.388
Hamilton County,NE,62.191,56.657,67.725
Harlan County,NE,46.744,42.067,51.421
Hayes County,NE,48.856,43.592,54.12
Hitchcock County,NE,40.496,36.479,44.513
Holt County,NE,46.667,42.949,50.385
Hooker County,NE,40.732,36.372,45.092
Howard County,NE,51.04,45.694,56.386
Jefferson County,NE,44.947,40.476,49.418
Johnson County,NE,48.511,44.139,52.883
Kearney County,NE,56.791,51.179,62.403
Keith County,NE,45.192,40.685,49.699
Keya Paha County,NE,41.138,36.737,45.539
Kimball County,NE,45.771,41.357,50.185
Knox County,NE,42.745,39.105,46.385
Lancaster County,NE,52.011,50.517,53.505
Lincoln County,NE,49.77,46.148,53.392
Logan County,NE,50.761,45.517,56.005
Loup County,NE,49.132,45.587,52.677
McPherson County,NE,62.28,60.686,63.874
Madison County,NE,51.836,48.754,54.918
Merrick County,NE,50.893,46.325,55.461
Morrill County,NE,46.961,42.273,51.649
Nance County,NE,48.535,43.543,53.527
Nemaha County,NE,49.162,44.049,54.275
Nuckolls County,NE,43.249,39.069,47.429
Otoe County,NE,51.527,47.209,55.845
Pawnee County,NE,42.977,38.484,47.47
Perkins County,NE,56.08,50.781,61.379
Phelps County,NE,54.137,48.807,59.467
Pierce County,NE,53.489,49.502,57.476
Platte County,NE,61.768,57.764,65.772
Polk County,NE,58.162,53.839,62.485
Red Willow County,NE,43.842,39.607,48.077
Richardson County,NE,44.282,39.97,48.594
Rock County,NE,46.051,41.225,50.877
Saline County,NE,51.805,47.049,56.561
Sarpy County,NE,74.008,70.624,77.392
Saunders County,NE,61.961,57.302,66.62
Scotts Bluff County,NE,47.194,44.27,50.118
Seward County,NE,61.802,57.051,66.553
Sheridan County,NE,40.351,37.323,43.379
Sherman County,NE,43.883,39.767,47.999
Sioux County,NE,47.313,42.243,52.383
Stanton County,NE,55.955,50.351,61.559
Thayer County,NE,49.517,45.14,53.894
Thomas County,NE,39.537,35.392,43.682
Thurston County,NE,41.344,37.112,45.576
Valley County,NE,44.726,40.368,49.084
Washington County,NE,69.191,63.335,75.047
Wayne County,NE,53.29,47.775,58.805
Webster County,NE,40.979,36.73,45.228
Wheeler County,NE,45.4,41.127,49.673
York County,NE,51.335,49.041,53.629
Nevada,NE,51.487,50.828,52.146
Churchill County,NV,46.84,42.92,50.76
Clark County,NV,51.241,50.479,52.003
Douglas County,NV,60.322,55.65,64.994
Elko County,NV,72.648,66.193,79.103
Esmeralda County,NV,47.18,42.354,52.006
Eureka County,NV,70.535,63.156,77.914
Humboldt County,NV,67.423,60.9,73.946
Lander County,NV,74.347,67.049,81.645
Lincoln County,NV,45.629,40.757,50.501
Lyon County,NV,48.576,45.024,52.128
Mineral County,NV,40.714,36.477,44.951
Nye County,NV,42.881,39.119,46.643
Pershing County,NV,52.001,47.315,56.687
Storey County,NV,55.291,49.695,60.887
Washoe County,NV,52.862,51.049,54.675
White Pine County,NV,57.243,52.763,61.723
Carson City,NV,45.639,42.577,48.701
New Hampshire,NV,66.469,65.316,67.622
Belknap County,NH,59.831,55.591,64.071
Carroll County,NH,57.556,54.609,60.503
Cheshire County,NH,56.008,52.409,59.607
Coos County,NH,42.491,39.026,45.956
Grafton County,NH,56.353,52.081,60.625
Hillsborough County,NH,71.233,69.594,72.872
Merrimack County,NH,62.429,59.679,65.179
Rockingham County,NH,79.653,76.874,82.432
Strafford County,NH,58.577,54.563,62.591
Sullivan County,NH,57.142,53.155,61.129
New Jersey,NH,71.968,71.536,72.4
Atlantic County,NJ,54.208,51.707,56.709
Bergen County,NJ,84.309,81.445,87.173
Burlington County,NJ,80.479,78.678,82.28
Camden County,NJ,61.685,59.433,63.937
Cape May County,NJ,55.409,52.286,58.532
Cumberland County,NJ,45.438,43.079,47.797
Essex County,NJ,54.603,52.841,56.365
Gloucester County,NJ,78.983,76.838,81.128
Hudson County,NJ,57.72,55.552,59.888
Hunterdon County,NJ,103.876,98.74,109.012
Mercer County,NJ,73.75,70.588,76.912
Middlesex County,NJ,77.33,74.797,79.863
Monmouth County,NJ,87.22,83.462,90.978
Morris County,NJ,100.511,98.431,102.591
Ocean County,NJ,62.937,60.561,65.313
Passaic County,NJ,58.03,55.727,60.333
Salem County,NJ,56.645,51.844,61.446
Somerset County,NJ,100.194,97.196,103.192
Sussex County,NJ,82.048,77.755,86.341
Union County,NJ,68.172,65.147,71.197
Warren County,NJ,71.294,68.242,74.346
New Mexico,NJ,44.905,44.1,45.71
Bernalillo County,NM,47.192,45.738,48.646
Catron County,NM,33.256,30.201,36.311
Chaves County,NM,38.403,35.372,41.434
Cibola County,NM,35.081,31.785,38.377
Colfax County,NM,37.156,33.232,41.08
Curry County,NM,42.62,39.18,46.06
DeBaca County,NM,33.789,30.168,37.41
Dona Ana County,NM,38.974,36.619,41.329
Eddy County,NM,57.007,54.384,59.63
Grant County,NM,38.221,34.376,42.066
Guadalupe County,NM,29.147,26.157,32.137
Harding County,NM,40.38,36.057,44.703
Hidalgo County,NM,34.304,30.639,37.969
Lea County,NM,58.994,56.338,61.65
Lincoln County,NM,39.995,35.718,44.272
Los Alamos County,NM,108.477,98.987,117.967
Luna County,NM,27.268,24.529,30.007
McKinley County,NM,29.497,26.646,32.348
Mora County,NM,27.627,25.22,30.034
Otero County,NM,41.736,39.613,43.859
Quay County,NM,29.069,25.991,32.147
Rio Arriba County,NM,34.902,31.783,38.021
Roosevelt County,NM,36.108,32.363,39.853
Sandoval County,NM,56.142,52.42,59.864
San Juan County,NM,47.52,44.016,51.024
San Miguel County,NM,32.964,29.551,36.377
Santa Fe County,NM,52.628,49.201,56.055
Sierra County,NM,29.036,26.281,31.791
Socorro County,NM,32.285,28.943,35.627
Taos County,NM,36.125,33.314,38.936
Torrance County,NM,37.311,34.078,40.544
Union County,NM,36.684,32.844,40.524
Valencia County,NM,40.591,36.885,44.297
New York,NM,58.771,58.381,59.161
Albany County,NY,60.371,58.483,62.259
Allegany County,NY,42.655,39.932,45.378
Bronx County,NY,33.687,32.142,35.232
Broome County,NY,46.283,43.867,48.699
Cattaraugus County,NY,43.892,41.239,46.545
Cayuga County,NY,52.792,50.589,54.995
Chautauqua County,NY,41.757,40.08,43.434
Chemung County,NY,48.88,45.935,51.825
Chenango County,NY,46.387,43.907,48.867
Clinton County,NY,51.576,48.503,54.649
Columbia County,NY,55.047,51.882,58.212
Cortland County,NY,48.357,45.42,51.294
Delaware County,NY,45.86,43.059,48.661
Dutchess County,NY,70.925,68.92,72.93
Erie County,NY,50.134,49.067,51.201
Essex County,NY,50.182,46.667,53.697
Franklin County,NY,45.704,42.313,49.095
Fulton County,NY,45.409,43.347,47.471
Genesee County,NY,52.41,48.85,55.97
Greene County,NY,52.597,48.984,56.21
Hamilton County,NY,49.137,44.845,53.429
Herkimer County,NY,44.148,40.974,47.322
Jefferson County,NY,49.781,47.219,52.343
Kings County,NY,47.547,46.539,48.555
Lewis County,NY,47.542,43.669,51.415
Livingston County,NY,49.92,46.553,53.287
Madison County,NY,51.6,48.543,54.657
Monroe County,NY,51.371,50.069,52.673
Montgomery County,NY,40.923,37.323,44.523
Nassau County,NY,98.312,96.214,100.41
New York County,NY,75.459,73.761,77.157
Niagara County,NY,49.274,46.704,51.844
Oneida County,NY,48.35,46.468,50.232
Onondaga County,NY,52.892,51.203,54.581
Ontario County,NY,58.473,54.671,62.275
Orange County,NY,69.228,66.452,72.004
Orleans County,NY,46.577,42.683,50.471
Oswego County,NY,46.926,43.77,50.082
Otsego County,NY,43.104,40.662,45.546
Putnam County,NY,94.334,88.232,100.436
Queens County,NY,56.866,55.895,57.837
Rensselaer County,NY,59.925,56.685,63.165
Richmond County,NY,70.299,67.681,72.917
Rockland County,NY,83.162,79.386,86.938
St. Lawrence County,NY,43.518,40.977,46.059
Saratoga County,NY,71.885,68.553,75.217
Schenectady County,NY,56.508,53.139,59.877
Schoharie County,NY,48.718,44.718,52.718
Schuyler County,NY,48.135,45.143,51.127
Seneca County,NY,49.809,46.558,53.06
Steuben County,NY,46.849,44.87,48.828
Suffolk County,NY,85.886,84.345,87.427
Sullivan County,NY,48.908,44.979,52.837
Tioga County,NY,52.195,47.883,56.507
Tompkins County,NY,51.88,47.81,55.95
Ulster County,NY,56.718,53.116,60.32
Warren County,NY,54.585,51.219,57.951
Washington County,NY,47.547,43.78,51.314
Wayne County,NY,49.191,45.295,53.087
Westchester County,NY,83.152,80.782,85.522
Wyoming County,NY,53.783,50.978,56.588
Yates County,NY,48.368,44.676,52.06
North Carolina,NY,46.596,46.219,46.973
Alamance County,NC,41.296,38.639,43.953
Alexander County,NC,43.043,38.899,47.187
Alleghany County,NC,35.266,31.676,38.856
Anson County,NC,32.508,29.368,35.648
Ashe County,NC,36.488,33.079,39.897
Avery County,NC,37.131,33.631,40.631
Beaufort County,NC,40.357,37.64,43.074
Bertie County,NC,31.217,28.166,34.268
Bladen County,NC,33.521,30.324,36.718
Brunswick County,NC,47.387,44.564,50.21
Buncombe County,NC,47.296,45.412,49.18
Burke County,NC,39.275,35.978,42.572
Cabarrus County,NC,55.25,52.17,58.33
Caldwell County,NC,38.653,35.764,41.542
Camden County,NC,61.73,56.667,66.793
Carteret County,NC,48.824,45.984,51.664
Caswell County,NC,42.73,39.1,46.36
Catawba County,NC,45.08,42.599,47.561
Chatham County,NC,56.797,52.366,61.228
Cherokee County,NC,34.62,31.379,37.861
Chowan County,NC,38.887,34.905,42.869
Clay County,NC,37.072,33.355,40.789
Cleveland County,NC,39.444,36.056,42.832
Columbus County,NC,34.321,32.791,35.851
Craven County,NC,43.972,41.45,46.494
Cumberland County,NC,42.582,41.154,44.01
Currituck County,NC,58.024,52.281,63.767
Dare County,NC,54.642,51.682,57.602
Davidson County,NC,43.346,40.563,46.129
Davie County,NC,47.592,44.057,51.127
Duplin County,NC,34.109,31.308,36.91
Durham County,NC,50.745,48.979,52.511
Edgecombe County,NC,31.615,29.616,33.614
Forsyth County,NC,45.944,43.656,48.232
Franklin County,NC,48.166,45.538,50.794
Gaston County,NC,42.056,39.712,44.4
Gates County,NC,48.413,44.231,52.595
Graham County,NC,33.824,30.489,37.159
Granville County,NC,49.342,45.596,53.088
Greene County,NC,37.263,33.969,40.557
Guilford County,NC,44.828,42.75,46.906
Halifax County,NC,31.674,29.416,33.932
