Orig Name,Name,State,Median Household Income,90% CI Lower Bound,90% CI Upper Bound
Montgomery County,Montgomery2,AR,34.597,30.991,38.203
Nevada County,Nevada1,AR,30.935,27.716,34.154
Newton County,Newton1,AR,35.895,33.138,38.652
Ouachita County,Ouachita1,AR,34.971,31.332,38.61
Perry County,Perry2,AR,40.556,36.589,44.523
Phillips County,Phillips1,AR,28.171,25.323,31.019
Pike County,Pike2,AR,36.893,33.477,40.309
Poinsett County,Poinsett1,AR,35.851,33.392,38.31
Polk County,Polk1,AR,33.127,29.973,36.281
Pope County,Pope1,AR,39.909,36.685,43.133
Prairie County,Prairie1,AR,39.896,36.256,43.536
Pulaski County,Pulaski1,AR,45.698,43.1,48.296
Randolph County,Randolph2,AR,37.761,35.038,40.484
St. Francis County,St. Francis1,AR,30.489,27.676,33.302
Saline County,Saline1,AR,55.915,51.847,59.983
Scott County,Scott1,AR,33.202,30.371,36.033
Searcy County,Searcy1,AR,31.765,29.66,33.87
Sebastian County,Sebastian1,AR,39.907,37.181,42.633
Sevier County,Sevier1,AR,37.014,33.611,40.417
Sharp County,Sharp1,AR,32.101,29.002,35.2
Stone County,Stone1,AR,30.01,27.372,32.648
Union County,Union1,AR,40.841,37.117,44.565
Van Buren County,Van Buren1,AR,32.975,30.386,35.564
Washington County,Washington2,AR,45.589,42.916,48.262
White County,White1,AR,42.044,38.176,45.912
Woodruff County,Woodruff1,AR,29.969,27.101,32.837
Yell County,Yell1,AR,37.08,33.906,40.254
California,California1,AR,61.927,61.689,62.165
Alameda County,Alameda1,CA,76.996,75.788,78.204
Alpine County,Alpine1,CA,53.003,48.227,57.779
Amador County,Amador1,CA,54.61,49.602,59.618
Butte County,Butte1,CA,42.302,40.264,44.34
Calaveras County,Calaveras1,CA,53.321,48.734,57.908
Colusa County,Colusa1,CA,48.006,44.053,51.959
Contra Costa County,Contra Costa1,CA,80.338,78.4,82.276
Del Norte County,Del Norte1,CA,41.419,38.181,44.657
El Dorado County,El Dorado1,CA,70.235,65.699,74.771
Fresno County,Fresno1,CA,43.338,41.508,45.168
Glenn County,Glenn1,CA,43.755,39.548,47.962
Humboldt County,Humboldt1,CA,40.581,38.005,43.157
Imperial County,Imperial1,CA,38.737,35.433,42.041
Inyo County,Inyo1,CA,49.267,44.287,54.247
Kern County,Kern1,CA,47.451,45.276,49.626
Kings County,Kings1,CA,44.49,40.932,48.048
Lake County,Lake1,CA,36.333,33.116,39.55
Lassen County,Lassen1,CA,49.995,45.57,54.42
Los Angeles County,Los Angeles1,CA,55.686,55.165,56.207
Madera County,Madera1,CA,43.171,40.1,46.242
Marin County,Marin1,CA,94.549,88.283,100.815
Mariposa County,Mariposa1,CA,47.781,44.401,51.161
Mendocino County,Mendocino1,CA,42.84,40,45.68
Merced County,Merced1,CA,43.818,41.284,46.352
Modoc County,Modoc1,CA,39.172,35.813,42.531
Mono County,Mono1,CA,59.181,53.608,64.754
Monterey County,Monterey1,CA,57.428,55.347,59.509
Napa County,Napa1,CA,71.063,66.853,75.273
Nevada County,Nevada2,CA,57.118,52.704,61.532
Orange County,Orange1,CA,76.061,74.857,77.265
Placer County,Placer1,CA,75.689,73.005,78.373
Plumas County,Plumas1,CA,47.964,43.161,52.767
Riverside County,Riverside1,CA,56.877,56.024,57.73
Sacramento County,Sacramento1,CA,55.803,54.725,56.881
San Benito County,San Benito1,CA,68.166,63.835,72.497
San Bernardino County,San Bernardino1,CA,51.951,51.101,52.801
San Diego County,San Diego1,CA,66.034,65.066,67.002
San Francisco County,San Francisco1,CA,83.788,81.114,86.462
San Joaquin County,San Joaquin1,CA,51.527,50.269,52.785
San Luis Obispo County,San Luis Obispo1,CA,61.775,58.599,64.951
San Mateo County,San Mateo1,CA,100.806,99.503,102.109
Santa Barbara County,Santa Barbara1,CA,62.116,59.007,65.225
Santa Clara County,Santa Clara1,CA,97.219,95.336,99.102
Santa Cruz County,Santa Cruz2,CA,64.257,59.903,68.611
Shasta County,Shasta1,CA,43.661,41.361,45.961
Sierra County,Sierra1,CA,47.293,42.283,52.303
