Orig Name,Name,State,Median Household Income,90% CI Lower Bound,90% CI Upper Bound
Kentucky,Kentucky1,KS,42.914,42.243,43.585
Adair County,Adair2,KY,31.558,28.365,34.751
Allen County,Allen3,KY,39.801,35.745,43.857
Anderson County,Anderson2,KY,54.331,49.557,59.105
Ballard County,Ballard1,KY,44.732,40.9,48.564
Barren County,Barren1,KY,37.666,35.141,40.191
Bath County,Bath1,KY,34.126,30.979,37.273
Bell County,Bell1,KY,24.868,22.522,27.214
Boone County,Boone5,KY,66.939,62.353,71.525
Bourbon County,Bourbon2,KY,42.812,39.481,46.143
Boyd County,Boyd1,KY,40.224,37.466,42.982
Boyle County,Boyle1,KY,41.538,37.818,45.258
Bracken County,Bracken1,KY,41.91,37.565,46.255
Breathitt County,Breathitt1,KY,28.647,25.943,31.351
Breckinridge County,Breckinridge1,KY,41.547,37.581,45.513
Bullitt County,Bullitt1,KY,54.924,51.662,58.186
Butler County,Butler4,KY,35.219,32.926,37.512
Caldwell County,Caldwell1,KY,42.64,39.208,46.072
Calloway County,Calloway1,KY,37.705,34.805,40.605
Campbell County,Campbell1,KY,52.349,48.664,56.034
Carlisle County,Carlisle1,KY,40.701,37.043,44.359
Carroll County,Carroll6,KY,43.615,39.028,48.202
Carter County,Carter1,KY,34.991,32.222,37.76
Casey County,Casey1,KY,29.344,26.331,32.357
Christian County,Christian2,KY,36.736,34.427,39.045
Clark County,Clark6,KY,49.012,45.83,52.194
Clay County,Clay9,KY,25.215,22.832,27.598
Clinton County,Clinton4,KY,28.341,25.335,31.347
Crittenden County,Crittenden2,KY,38.338,34.371,42.305
Cumberland County,Cumberland2,KY,29.067,26.024,32.11
Daviess County,Daviess2,KY,43.39,40.519,46.261
Edmonson County,Edmonson1,KY,38.544,35.105,41.983
Elliott County,Elliott1,KY,30.556,27.524,33.588
Estill County,Estill1,KY,30.333,27.145,33.521
Fayette County,Fayette6,KY,48.552,45.941,51.163
Fleming County,Fleming1,KY,35.878,32.291,39.465
Floyd County,Floyd4,KY,30.127,27.456,32.798
Franklin County,Franklin10,KY,49.4,45.376,53.424
Fulton County,Fulton5,KY,30.671,27.399,33.943
Gallatin County,Gallatin2,KY,45.483,41.404,49.562
Garrard County,Garrard1,KY,43.647,39.998,47.296
Grant County,Grant4,KY,46.226,42.209,50.243
Graves County,Graves1,KY,39.247,37.151,41.343
Grayson County,Grayson1,KY,35.726,32.18,39.272
Green County,Green1,KY,33.64,30.073,37.207
Greenup County,Greenup1,KY,42.452,39.829,45.075
Hancock County,Hancock5,KY,50.358,45.283,55.433
Hardin County,Hardin3,KY,50.407,46.978,53.836
Harlan County,Harlan1,KY,26.351,24.004,28.698
Harrison County,Harrison3,KY,41.406,37.57,45.242
Hart County,Hart2,KY,38.038,35.465,40.611
Henderson County,Henderson2,KY,43.04,39.721,46.359
Henry County,Henry6,KY,43.799,39.791,47.807
Hickman County,Hickman1,KY,41.588,37.204,45.972
Hopkins County,Hopkins1,KY,42.477,39.695,45.259
Jackson County,Jackson10,KY,29.09,26.113,32.067
Jefferson County,Jefferson11,KY,48.264,46.792,49.736
Jessamine County,Jessamine1,KY,51.227,47.049,55.405
Johnson County,Johnson7,KY,34.271,30.792,37.75
Kenton County,Kenton1,KY,54.728,51.029,58.427
Knott County,Knott1,KY,27.709,24.991,30.427
Knox County,Knox3,KY,26.048,23.747,28.349
Larue County,Larue1,KY,40.312,36.301,44.323
Laurel County,Laurel1,KY,34.678,31.744,37.612
Lawrence County,Lawrence5,KY,32.835,29.536,36.134
Lee County,Lee7,KY,25.473,22.908,28.038
Leslie County,Leslie1,KY,27.777,24.815,30.739
Letcher County,Letcher1,KY,28.574,25.976,31.172
Lewis County,Lewis2,KY,30.217,27.018,33.416
Lincoln County,Lincoln6,KY,35.368,32.008,38.728
Livingston County,Livingston2,KY,42.892,38.391,47.393
Logan County,Logan5,KY,41.15,38.052,44.248
Lyon County,Lyon3,KY,43.067,39.324,46.81
McCracken County,McCracken1,KY,41.216,37.433,44.999
McCreary County,McCreary1,KY,24.265,21.704,26.826
McLean County,McLean2,KY,42.288,38.153,46.423
Madison County,Madison9,KY,44.358,40.358,48.358
Magoffin County,Magoffin1,KY,29.421,26.294,32.548
Marion County,Marion9,KY,39.089,35.073,43.105
Marshall County,Marshall6,KY,45.596,41.679,49.513
Martin County,Martin3,KY,27.484,24.519,30.449
Mason County,Mason2,KY,40.26,36.05,44.47
Meade County,Meade2,KY,52.377,48.392,56.362
Menifee County,Menifee1,KY,30.828,27.618,34.038
Mercer County,Mercer2,KY,43.945,39.969,47.921
Metcalfe County,Metcalfe1,KY,30.46,27.362,33.558
Monroe County,Monroe8,KY,30.172,27.098,33.246
Montgomery County,Montgomery8,KY,41.139,36.899,45.379
Morgan County,Morgan6,KY,30.872,27.662,34.082
Muhlenberg County,Muhlenberg1,KY,38.916,35.702,42.13
Nelson County,Nelson1,KY,54.54,51.405,57.675
Nicholas County,Nicholas1,KY,37.061,33.147,40.975
Ohio County,Ohio2,KY,38.261,34.643,41.879
Oldham County,Oldham1,KY,92.097,87.722,96.472
Owen County,Owen2,KY,43.626,39.41,47.842
Owsley County,Owsley1,KY,23.047,20.554,25.54
Pendleton County,Pendleton1,KY,47.023,42.222,51.824
Perry County,Perry5,KY,31.265,28.009,34.521
Pike County,Pike6,KY,32.666,30.344,34.988
Powell County,Powell1,KY,32.783,29.448,36.118
Pulaski County,Pulaski5,KY,32.767,30.55,34.984
Robertson County,Robertson1,KY,37.281,33.267,41.295
Rockcastle County,Rockcastle1,KY,33.789,30.65,36.928
Rowan County,Rowan1,KY,37.287,33.544,41.03
Russell County,Russell3,KY,33.623,31.411,35.835
Scott County,Scott6,KY,61.989,57.808,66.17
Shelby County,Shelby5,KY,57.447,52.865,62.029
Simpson County,Simpson1,KY,45.269,41.06,49.478
Spencer County,Spencer2,KY,67.437,60.6,74.274
Taylor County,Taylor4,KY,34.633,31.156,38.11
Todd County,Todd1,KY,40.002,35.84,44.164
Trigg County,Trigg1,KY,44.676,40.398,48.954
Trimble County,Trimble1,KY,46.708,41.732,51.684
Union County,Union7,KY,44.119,39.965,48.273
Warren County,Warren5,KY,48.925,46.093,51.757
Washington County,Washington11,KY,39.983,35.868,44.098
Wayne County,Wayne5,KY,30.619,28.401,32.837
Webster County,Webster3,KY,43.024,38.913,47.135
Whitley County,Whitley2,KY,31.086,28.369,33.803
Wolfe County,Wolfe1,KY,25.768,23.04,28.496
Woodford County,Woodford2,KY,57.067,52.462,61.672
Louisiana,Louisiana1,KY,44.68,43.971,45.389
Acadia Parish,Acadia1,LA,40.269,36.378,44.16
Allen Parish,Allen4,LA,36.852,34.825,38.879
Ascension Parish,Ascension1,LA,67.299,62.671,71.927
Assumption Parish,Assumption1,LA,46.317,42.592,50.042
Avoyelles Parish,Avoyelles1,LA,34.022,30.779,37.265
Beauregard Parish,Beauregard1,LA,43.918,39.865,47.971
Bienville Parish,Bienville1,LA,33.134,29.999,36.269
Bossier Parish,Bossier1,LA,51.138,48.439,53.837
Caddo Parish,Caddo1,LA,39.812,36.936,42.688
Calcasieu Parish,Calcasieu1,LA,45.979,43.355,48.603
Caldwell Parish,Caldwell2,LA,36.35,32.6,40.1
Cameron Parish,Cameron1,LA,59.3,55.359,63.241
Catahoula Parish,Catahoula1,LA,34.116,30.742,37.49
Claiborne Parish,Claiborne1,LA,35.385,31.871,38.899
Concordia Parish,Concordia1,LA,31.835,28.573,35.097
De Soto Parish,De Soto1,LA,40.642,37.62,43.664
East Baton Rouge Parish,East Baton Rouge1,LA,46.831,44.52,49.142
East Carroll Parish,East Carroll1,LA,25.402,22.922,27.882
East Feliciana Parish,East Feliciana1,LA,41.651,37.428,45.874
Evangeline Parish,Evangeline1,LA,32.615,29.494,35.736
Franklin Parish,Franklin11,LA,32.318,29.18,35.456
Grant Parish,Grant5,LA,40.668,36.71,44.626
Iberia Parish,Iberia1,LA,45.226,42.503,47.949
Iberville Parish,Iberville1,LA,47.377,44.13,50.624
Jackson Parish,Jackson11,LA,37.13,33.219,41.041
Jefferson Parish,Jefferson12,LA,47.024,45.245,48.803
Jefferson Davis Parish,Jefferson Davis1,LA,37.968,34.664,41.272
Lafayette Parish,Lafayette3,LA,51.34,49.439,53.241
Lafourche Parish,Lafourche1,LA,47.382,43.328,51.436
La Salle Parish,La Salle2,LA,44.139,39.431,48.847
Lincoln Parish,Lincoln7,LA,32.889,30.777,35.001
Livingston Parish,Livingston3,LA,58.818,55.134,62.502
Madison Parish,Madison10,LA,26.732,23.998,29.466
Morehouse Parish,Morehouse1,LA,30.636,28.099,33.173
Natchitoches Parish,Natchitoches1,LA,34.522,31.117,37.927
Orleans Parish,Orleans1,LA,35.468,33.961,36.975
Ouachita Parish,Ouachita2,LA,40.877,38.673,43.081
Plaquemines Parish,Plaquemines1,LA,51.304,46.315,56.293
Pointe Coupee Parish,Pointe Coupee1,LA,44.469,40.287,48.651
Rapides Parish,Rapides1,LA,40.406,37.704,43.108
Red River Parish,Red River1,LA,33.322,29.842,36.802
Richland Parish,Richland2,LA,36.666,33.773,39.559
Sabine Parish,Sabine1,LA,39.561,35.777,43.345
St. Bernard Parish,St. Bernard1,LA,45.615,43.076,48.154
St. Charles Parish,St. Charles1,LA,60.751,55.245,66.257
St. Helena Parish,St. Helena1,LA,35.004,31.366,38.642
St. James Parish,St. James1,LA,47.477,43.084,51.87
St. John the Baptist Parish,St. John the Baptist1,LA,47.225,43.54,50.91
St. Landry Parish,St. Landry1,LA,32.683,29.524,35.842
St. Martin Parish,St. Martin1,LA,46.713,43.457,49.969
St. Mary Parish,St. Mary1,LA,42.075,38.81,45.34
St. Tammany Parish,St. Tammany1,LA,63.441,59.998,66.884
Tangipahoa Parish,Tangipahoa1,LA,39.927,36.949,42.905
Tensas Parish,Tensas1,LA,27.522,24.585,30.459
Terrebonne Parish,Terrebonne1,LA,49.044,45.06,53.028
Union Parish,Union8,LA,38.998,35.137,42.859
Vermilion Parish,Vermilion2,LA,45.331,41.397,49.265
Vernon Parish,Vernon1,LA,46.682,44.685,48.679
Washington Parish,Washington12,LA,29.749,26.96,32.538
Webster Parish,Webster4,LA,36.003,32.666,39.34
West Baton Rouge Parish,West Baton Rouge1,LA,51.55,46.535,56.565
West Carroll Parish,West Carroll1,LA,33.959,30.401,37.517
West Feliciana Parish,West Feliciana1,LA,53.679,48.045,59.313
Winn Parish,Winn1,LA,36.644,32.744,40.544
Maine,Maine1,LA,49.381,48.366,50.396
Androscoggin County,Androscoggin1,ME,46.701,43.816,49.586
Aroostook County,Aroostook1,ME,36.066,34.092,38.04
Cumberland County,Cumberland3,ME,61.436,59.325,63.547
Franklin County,Franklin12,ME,41.035,37.899,44.171
Hancock County,Hancock6,ME,45.807,42.883,48.731
Kennebec County,Kennebec1,ME,45.556,42.074,49.038
Knox County,Knox4,ME,50.002,47.164,52.84
Lincoln County,Lincoln8,ME,47.905,44.25,51.56
Oxford County,Oxford1,ME,40.12,36.871,43.369
Penobscot County,Penobscot1,ME,42.728,40.211,45.245
Piscataquis County,Piscataquis1,ME,36.994,34.437,39.551
Sagadahoc County,Sagadahoc1,ME,55.63,50.699,60.561
Somerset County,Somerset1,ME,39.001,35.891,42.111
Waldo County,Waldo1,ME,46.598,44.204,48.992
Washington County,Washington13,ME,38.057,35.9,40.214
York County,York1,ME,55.482,52.858,58.106
Maryland,Maryland1,ME,73.851,73.027,74.675
Allegany County,Allegany1,MD,39.808,37.428,42.188
Anne Arundel County,Anne Arundel1,MD,86.654,84.007,89.301
Baltimore County,Baltimore1,MD,67.766,65.505,70.027
Calvert County,Calvert1,MD,92.446,86.195,98.697
Caroline County,Caroline1,MD,49.573,46.577,52.569
Carroll County,Carroll7,MD,84.5,81.375,87.625
Cecil County,Cecil1,MD,62.198,59.01,65.386
Charles County,Charles1,MD,86.703,82.327,91.079
Dorchester County,Dorchester1,MD,42.279,38.187,46.371
Frederick County,Frederick1,MD,83.698,80.759,86.637
Garrett County,Garrett1,MD,47.441,44.532,50.35
Harford County,Harford1,MD,79.403,76.922,81.884
Howard County,Howard4,MD,106.871,101.405,112.337
Kent County,Kent2,MD,53.288,48.364,58.212
Montgomery County,Montgomery9,MD,97.279,95.056,99.502
Prince George's County,Prince George's1,MD,71.904,70.457,73.351
Queen Anne's County,Queen Anne's1,MD,80.65,75.363,85.937
St. Mary's County,St. Mary's1,MD,84.686,80.795,88.577
Somerset County,Somerset2,MD,38.376,35.418,41.334
Talbot County,Talbot2,MD,54.836,50.528,59.144
Washington County,Washington14,MD,54.606,51.653,57.559
Wicomico County,Wicomico1,MD,51.927,49.693,54.161
Worcester County,Worcester1,MD,55.691,52.438,58.944
Baltimore city,Baltimore2,MD,41.895,40.097,43.693
Massachusetts,Massachusetts1,MD,69.2,68.303,70.097
Barnstable County,Barnstable1,MA,64.15,61.187,67.113
Berkshire County,Berkshire1,MA,49.89,46.94,52.84
Bristol County,Bristol1,MA,57.732,55.656,59.808
Dukes County,Dukes1,MA,61.259,54.94,67.578
Essex County,Essex1,MA,70.074,68.522,71.626
Franklin County,Franklin13,MA,53.953,50.412,57.494
Hampden County,Hampden1,MA,49.072,47.009,51.135
Hampshire County,Hampshire1,MA,57.737,53.688,61.786
Middlesex County,Middlesex2,MA,84.026,81.707,86.345
Nantucket County,Nantucket1,MA,82.596,75.718,89.474
Norfolk County,Norfolk1,MA,90.039,87.658,92.42
Plymouth County,Plymouth2,MA,74.576,72.34,76.812
Suffolk County,Suffolk1,MA,54.28,52.553,56.007
Worcester County,Worcester2,MA,65.217,63.662,66.772
Michigan,Michigan1,MA,49.755,49.373,50.137
Alcona County,Alcona1,MI,36.377,33.824,38.93
Alger County,Alger1,MI,45.308,41.564,49.052
Allegan County,Allegan1,MI,54.232,50.699,57.765
Alpena County,Alpena1,MI,38.121,35.032,41.21
Antrim County,Antrim1,MI,45.743,42.747,48.739
Arenac County,Arenac1,MI,36.46,33.314,39.606
Baraga County,Baraga1,MI,41.624,37.923,45.325
Barry County,Barry1,MI,57.235,53.47,61
Bay County,Bay2,MI,46.061,43.483,48.639
Benzie County,Benzie1,MI,48.846,45.481,52.211
Berrien County,Berrien2,MI,44.145,42.011,46.279
Branch County,Branch1,MI,46.371,43.61,49.132
Calhoun County,Calhoun7,MI,45.916,43.791,48.041
Cass County,Cass4,MI,48.03,45.236,50.824
Charlevoix County,Charlevoix1,MI,47.991,44.05,51.932
Cheboygan County,Cheboygan1,MI,41.93,39.165,44.695
Chippewa County,Chippewa1,MI,38.989,36.359,41.619
Clare County,Clare1,MI,34.655,32.248,37.062
Clinton County,Clinton5,MI,60.65,56.647,64.653
Crawford County,Crawford7,MI,41.101,37.652,44.55
Delta County,Delta2,MI,43.338,39.883,46.793
Dickinson County,Dickinson3,MI,45.174,41.665,48.683
Eaton County,Eaton1,MI,57.088,54.89,59.286
Emmet County,Emmet2,MI,50.191,46.448,53.934
Genesee County,Genesee1,MI,41.787,40.585,42.989
Gladwin County,Gladwin1,MI,39.721,37.237,42.205
Gogebic County,Gogebic1,MI,33.6,30.609,36.591
Grand Traverse County,Grand Traverse1,MI,55.592,52.29,58.894
Gratiot County,Gratiot1,MI,43.509,39.9,47.118
Hillsdale County,Hillsdale1,MI,44.78,41.515,48.045
Houghton County,Houghton1,MI,39.126,35.83,42.422
Huron County,Huron1,MI,41.678,39.439,43.917
Ingham County,Ingham1,MI,45.84,44.125,47.555
Ionia County,Ionia1,MI,48.681,45.531,51.831
Iosco County,Iosco1,MI,37.122,34.908,39.336
Iron County,Iron1,MI,35.961,32.96,38.962
Isabella County,Isabella1,MI,42.431,39.593,45.269
Jackson County,Jackson12,MI,46.67,43.293,50.047
Kalamazoo County,Kalamazoo1,MI,46.283,43.742,48.824
Kalkaska County,Kalkaska1,MI,40.709,38.14,43.278
Kent County,Kent3,MI,53.342,51.965,54.719
Keweenaw County,Keweenaw1,MI,40.411,36.083,44.739
Lake County,Lake6,MI,30.99,28.264,33.716
Lapeer County,Lapeer1,MI,51.51,49.268,53.752
Leelanau County,Leelanau1,MI,60.622,56.547,64.697
Lenawee County,Lenawee1,MI,48.194,44.829,51.559
Livingston County,Livingston4,MI,74.341,71.731,76.951
Luce County,Luce1,MI,37.59,33.879,41.301
Mackinac County,Mackinac1,MI,39.359,36.293,42.425
Macomb County,Macomb1,MI,54.865,53.426,56.304
Manistee County,Manistee1,MI,37.477,34.49,40.464
Marquette County,Marquette1,MI,44.735,42.147,47.323
Mason County,Mason3,MI,42.896,40.503,45.289
Mecosta County,Mecosta1,MI,41.572,38.613,44.531
Menominee County,Menominee1,MI,42.191,38.529,45.853
Midland County,Midland1,MI,51.629,48.225,55.033
Missaukee County,Missaukee1,MI,40.455,38.092,42.818
Monroe County,Monroe9,MI,57.719,54.957,60.481
Montcalm County,Montcalm1,MI,41.554,39.317,43.791
Montmorency County,Montmorency1,MI,37.961,35.611,40.311
Muskegon County,Muskegon1,MI,42.588,40.969,44.207
Newaygo County,Newaygo1,MI,41.588,38.332,44.844
Oakland County,Oakland1,MI,69.378,67.834,70.922
Oceana County,Oceana1,MI,41.166,39.348,42.984
Ogemaw County,Ogemaw1,MI,35.968,33.561,38.375
Ontonagon County,Ontonagon1,MI,35.387,32.633,38.141
Osceola County,Osceola3,MI,40.235,38.065,42.405
Oscoda County,Oscoda1,MI,33.975,30.703,37.247
Otsego County,Otsego1,MI,44.693,41.106,48.28
Ottawa County,Ottawa2,MI,60.577,58.638,62.516
Presque Isle County,Presque Isle1,MI,39.42,36.418,42.422
Roscommon County,Roscommon1,MI,35.002,31.874,38.13
Saginaw County,Saginaw1,MI,44.548,42.964,46.132
St. Clair County,St. Clair3,MI,50.303,48.3,52.306
St. Joseph County,St. Joseph2,MI,43.687,42.002,45.372
Sanilac County,Sanilac1,MI,42.081,39.898,44.264
Schoolcraft County,Schoolcraft1,MI,39.539,35.698,43.38
Shiawassee County,Shiawassee1,MI,47.882,44.79,50.974
Tuscola County,Tuscola1,MI,43.186,40.363,46.009
Van Buren County,Van Buren3,MI,46.715,43.562,49.868
Washtenaw County,Washtenaw1,MI,62.861,60.785,64.937
Wayne County,Wayne6,MI,41.434,40.77,42.098
Wexford County,Wexford1,MI,39.807,36.811,42.803
Minnesota,Minnesota1,MI,61.473,61.01,61.936
Aitkin County,Aitkin1,MN,40.676,37.647,43.705
Anoka County,Anoka1,MN,70.868,68.885,72.851
Becker County,Becker1,MN,51.116,48.338,53.894
Beltrami County,Beltrami1,MN,43.706,40.801,46.611
Benton County,Benton4,MN,52.531,48.263,56.799
Big Stone County,Big Stone1,MN,46.495,42.292,50.698
Blue Earth County,Blue Earth1,MN,49.513,45.98,53.046
Brown County,Brown4,MN,52.272,48.496,56.048
Carlton County,Carlton1,MN,53.291,49.85,56.732
Carver County,Carver1,MN,88.5,81.93,95.07
Cass County,Cass5,MN,45.179,42.979,47.379
Chippewa County,Chippewa2,MN,51.274,46.143,56.405
Chisago County,Chisago1,MN,75.122,71.846,78.398
Clay County,Clay10,MN,55.56,51.357,59.763
Clearwater County,Clearwater2,MN,43.674,40.488,46.86
Cook County,Cook3,MN,48.593,43.934,53.252
Cottonwood County,Cottonwood1,MN,48.176,44.19,52.162
Crow Wing County,Crow Wing1,MN,50.162,48.041,52.283
Dakota County,Dakota1,MN,76.269,74.59,77.948
Dodge County,Dodge2,MN,68.777,64.399,73.155
Douglas County,Douglas5,MN,52.298,49.03,55.566
Faribault County,Faribault1,MN,48.163,45.168,51.158
Fillmore County,Fillmore1,MN,52.444,49.13,55.758
Freeborn County,Freeborn1,MN,47.203,43.573,50.833
Goodhue County,Goodhue1,MN,60.869,55.876,65.862
Grant County,Grant6,MN,48.179,43.661,52.697
Hennepin County,Hennepin1,MN,64.49,62.862,66.118
Houston County,Houston3,MN,59.9,56.998,62.802
Hubbard County,Hubbard1,MN,47.944,44.516,51.372
Isanti County,Isanti1,MN,65.342,61.212,69.472
Itasca County,Itasca1,MN,48.525,45.351,51.699
Jackson County,Jackson13,MN,53.7,48.884,58.516
Kanabec County,Kanabec1,MN,48.908,45.953,51.863
Kandiyohi County,Kandiyohi1,MN,57.405,54.562,60.248
Kittson County,Kittson1,MN,50.372,45.982,54.762
Koochiching County,Koochiching1,MN,44.113,40.199,48.027
Lac qui Parle County,Lac qui Parle1,MN,48.245,43.871,52.619
Lake County,Lake7,MN,52.381,47.557,57.205
Lake of the Woods County,Lake of the Woods1,MN,44.727,40.2,49.254
Le Sueur County,Le Sueur1,MN,61.665,59.235,64.095
Lincoln County,Lincoln9,MN,48.449,44.607,52.291
Lyon County,Lyon4,MN,53.552,49.176,57.928
McLeod County,McLeod1,MN,60.114,57.012,63.216
Mahnomen County,Mahnomen1,MN,39.926,36.555,43.297
Marshall County,Marshall7,MN,54.433,51,57.866
Martin County,Martin4,MN,52.042,48.319,55.765
Meeker County,Meeker1,MN,54.354,51.565,57.143
Mille Lacs County,Mille Lacs1,MN,48.434,45.142,51.726
Morrison County,Morrison1,MN,50.685,48.144,53.226
Mower County,Mower1,MN,47.537,43.276,51.798
Murray County,Murray2,MN,52.219,49.256,55.182
Nicollet County,Nicollet1,MN,61.279,56.443,66.115
Nobles County,Nobles1,MN,50.684,47.71,53.658
Norman County,Norman1,MN,51.597,48.17,55.024
Olmsted County,Olmsted1,MN,69.43,64.999,73.861
Otter Tail County,Otter Tail1,MN,51.51,49.136,53.884
Pennington County,Pennington1,MN,50.905,46.639,55.171
Pine County,Pine1,MN,42.157,40.107,44.207
Pipestone County,Pipestone1,MN,47.164,43.63,50.698
Polk County,Polk5,MN,50.175,46.757,53.593
Pope County,Pope3,MN,51.343,47.279,55.407
Ramsey County,Ramsey1,MN,55.07,53.404,56.736
Red Lake County,Red Lake1,MN,48.188,43.673,52.703
Redwood County,Redwood1,MN,49.934,45.94,53.928
Renville County,Renville1,MN,54.386,50.247,58.525
Rice County,Rice2,MN,60.317,57.177,63.457
Rock County,Rock1,MN,55.352,50.258,60.446
Roseau County,Roseau1,MN,53.838,49.652,58.024
St. Louis County,St. Louis1,MN,49.714,47.569,51.859
Scott County,Scott7,MN,91.688,85.807,97.569
Sherburne County,Sherburne1,MN,76.512,71.008,82.016
Sibley County,Sibley1,MN,59.893,56.585,63.201
Stearns County,Stearns1,MN,55.832,53.614,58.05
Steele County,Steele1,MN,57.85,52.521,63.179
Stevens County,Stevens2,MN,55.292,50.354,60.23
Swift County,Swift1,MN,51.032,46.272,55.792
Todd County,Todd2,MN,43.287,40.47,46.104
Traverse County,Traverse1,MN,49.536,46.053,53.019
Wabasha County,Wabasha1,MN,58.752,55.176,62.328
Wadena County,Wadena1,MN,41.909,38.667,45.151
Waseca County,Waseca1,MN,54.183,49.539,58.827
Washington County,Washington15,MN,84.113,80.265,87.961
Watonwan County,Watonwan1,MN,48.658,44.632,52.684
Wilkin County,Wilkin1,MN,54.536,49.054,60.018
Winona County,Winona1,MN,49.365,46.124,52.606
Wright County,Wright2,MN,76.489,72.483,80.495
Yellow Medicine County,Yellow Medicine1,MN,51.028,47.867,54.189
Mississippi,Mississippi2,MN,39.738,38.998,40.478
Adams County,Adams6,MS,32.327,29.209,35.445
Alcorn County,Alcorn1,MS,35.18,31.741,38.619
Amite County,Amite1,MS,30.668,27.988,33.348
Attala County,Attala1,MS,32.521,29.767,35.275
Benton County,Benton5,MS,30.665,27.49,33.84
Bolivar County,Bolivar1,MS,29.297,26.767,31.827
Calhoun County,Calhoun8,MS,33.141,29.834,36.448
Carroll County,Carroll8,MS,38.219,34.703,41.735
Chickasaw County,Chickasaw2,MS,31.616,28.399,34.833
Choctaw County,Choctaw2,MS,34.548,31.115,37.981
Claiborne County,Claiborne2,MS,26.083,23.299,28.867
Clarke County,Clarke4,MS,34.91,31.493,38.327
Clay County,Clay11,MS,33.939,30.887,36.991
Coahoma County,Coahoma1,MS,28.647,26.187,31.107
Copiah County,Copiah1,MS,35.314,32.367,38.261
Covington County,Covington2,MS,31.835,29.049,34.621
DeSoto County,DeSoto2,MS,58.479,55.541,61.417
Forrest County,Forrest1,MS,36.808,34.296,39.32
Franklin County,Franklin14,MS,36.544,32.912,40.176
George County,George1,MS,44.811,40.86,48.762
Greene County,Greene7,MS,39.615,35.404,43.826
Grenada County,Grenada1,MS,33.65,30.882,36.418
Hancock County,Hancock7,MS,46.288,42.7,49.876
Harrison County,Harrison4,MS,41.01,39.028,42.992
Hinds County,Hinds1,MS,38.454,36.594,40.314
Holmes County,Holmes2,MS,22.64,20.57,24.71
Humphreys County,Humphreys1,MS,25.562,23.185,27.939
Issaquena County,Issaquena1,MS,37.096,34.04,40.152
Itawamba County,Itawamba1,MS,38.366,34.813,41.919
Jackson County,Jackson14,MS,48.018,45.115,50.921
Jasper County,Jasper5,MS,35.019,31.568,38.47
Jefferson County,Jefferson13,MS,26.408,23.564,29.252
Jefferson Davis County,Jefferson Davis2,MS,28.271,25.344,31.198
Jones County,Jones3,MS,37.367,33.881,40.853
Kemper County,Kemper1,MS,33.015,29.718,36.312
Lafayette County,Lafayette4,MS,40.797,36.867,44.727
Lamar County,Lamar3,MS,51.389,47.32,55.458
Lauderdale County,Lauderdale2,MS,38.869,35.195,42.543
Lawrence County,Lawrence6,MS,38.471,34.502,42.44
Leake County,Leake1,MS,32.239,29.966,34.512
Lee County,Lee8,MS,43.374,40.784,45.964
Leflore County,Leflore1,MS,26.439,23.889,28.989
Lincoln County,Lincoln10,MS,36.118,33.179,39.057
Lowndes County,Lowndes3,MS,39.937,37.265,42.609
Madison County,Madison11,MS,66.671,61.895,71.447
Marion County,Marion10,MS,33.428,30.284,36.572
Marshall County,Marshall8,MS,37.554,34.36,40.748
Monroe County,Monroe10,MS,36.81,33.238,40.382
Montgomery County,Montgomery10,MS,31.963,28.675,35.251
Neshoba County,Neshoba1,MS,37.686,33.897,41.475
Newton County,Newton4,MS,35.185,31.763,38.607
Noxubee County,Noxubee1,MS,28.73,25.87,31.59
Oktibbeha County,Oktibbeha1,MS,34.429,31.215,37.643
Panola County,Panola1,MS,34.526,31.328,37.724
Pearl River County,Pearl River1,MS,38.465,34.941,41.989
Perry County,Perry6,MS,32.459,29.353,35.565
Pike County,Pike7,MS,30.078,26.995,33.161
Pontotoc County,Pontotoc1,MS,40.198,36.355,44.041
Prentiss County,Prentiss1,MS,34.794,31.392,38.196
Quitman County,Quitman2,MS,26.204,23.587,28.821
Rankin County,Rankin1,MS,58.368,54.744,61.992
Scott County,Scott8,MS,32.049,28.969,35.129
Sharkey County,Sharkey1,MS,27.877,24.996,30.758
Simpson County,Simpson2,MS,34.338,31.044,37.632
Smith County,Smith2,MS,38.975,35.018,42.932
Stone County,Stone2,MS,41.136,37.241,45.031
Sunflower County,Sunflower1,MS,29.227,26.592,31.862
Tallahatchie County,Tallahatchie1,MS,28.456,25.784,31.128
Tate County,Tate1,MS,40.975,37.889,44.061
Tippah County,Tippah1,MS,37.026,33.437,40.615
Tishomingo County,Tishomingo1,MS,35.55,32.533,38.567
Tunica County,Tunica1,MS,30.689,27.4,33.978
Union County,Union9,MS,37.667,34.111,41.223
Walthall County,Walthall1,MS,31.607,28.425,34.789
Warren County,Warren6,MS,40.397,36.737,44.057
Washington County,Washington16,MS,30.292,28.299,32.285
Wayne County,Wayne7,MS,35.425,31.737,39.113
Webster County,Webster5,MS,34.073,31.064,37.082
Wilkinson County,Wilkinson2,MS,27.596,24.69,30.502
Winston County,Winston2,MS,34.403,31.04,37.766
Yalobusha County,Yalobusha1,MS,34.494,30.981,38.007
Yazoo County,Yazoo1,MS,30.313,27.857,32.769
Missouri,Missouri1,MS,48.288,47.734,48.842
Adair County,Adair3,MO,35.425,32.02,38.83
Andrew County,Andrew1,MO,56.309,50.95,61.668
